char_ID,char_name,gender,age,ethnicity
1,Tej,Male,25,Black
2,Jimmy,Male,21,Asian/Asian-American
3,Suki,Female,20,Asian/Asian-American
4,Orange Julius,Male,32,Latinx
5,Slap Jack,Male,29,Black
6,Brian O'Conner,Male,29,White
7,Monica Fuentes,Female,29,Latinx
8,Agent Markham,Male,49,White
9,Agent Bilkins,Male,52,Black
10,Agent Dunn,Male,,White
11,Roman Pearce,Male,24,Black
12,Korpi,Male,40,Latinx
13,Roberto,Male,38,Latinx
14,Enrique,Male,37,Latinx
15,Carter Verone,Male,28,White
16,Darden,Male,33,Latinx
17,Detective Whitworth,Male,48,White
