char_ID,char_name,gender,age,ethnicity
1,Letty,Female,36,Latinx
2,Dom,Male,47,Multi
3,Hector,Male,44,Latinx
4,Brian,Male,41,White
5,Jack,Male,4,White
6,Elena,Female,38,Latinx
7,Hobbs,Male,42,Multi
8,Deckard Shaw,Male,47,White
9,Mia,Female,34,Multi
10,Samantha,Female,11,Multi
11,Mando,Male,33,Latinx
12,Twinkie,Male,28,Black
13,Sean,Male,32,White
14,Roman,Male,36,Black
15,Tej,Male,37,Black
16,Mr. Nobody,Male,64,White
17,Sheppard,Male,34,White
18,Ramsey,Female,26,Black
19,Kiet,Male,39,Asian/Asian-American
20,Jakande,Male,50,Black
21,Safar,Male,28,MENA
22,Kara,Female,28,White
