char_ID,char_name,gender,age,ethnicity
1,Cindy,Female,28,White
2,Sean Boswell,Male,23,White
3,Clay,Male,24,White
4,Ms. Boswell,Female,41,White
5,Major Boswell,Male,43,White
6,Twinkie,Male,19,Black
7,Neela,Female,21,Multi
8,Reiko,Female,19,Asian/Asian-American
9,Earl,Male,22,Asian/Asian-American
10,D.K.,Male,29,Asian/Asian-American
11,Han,Male,34,Asian/Asian-American
12,Morimoto,Male,26,Asian/Asian-American
13,Uncle Kamata,Male,67,Asian/Asian-American
14,Dominic Toretto,Male,38,Multi
