char_ID,char_name,gender,age,ethnicity
1,Dom,Male,49,Multi
2,Letty,Female,39,Latinx
3,Fernando,Male,26,Latinx
4,Raldo,Male,35,Latinx
5,Cipher,Female,41,White
6,Hobbs,Male,44,Multi
7,DS Allan,Male,62,White
8,Samantha,Female,13,Multi
9,Roman,Male,38,Black
10,Tej,Male,39,Black
11,Ramsey,Female,28,Black
12,Mr. Nobody,Male,66,White
13,Little Nobody,Male,31,White
14,Miller,Male,35,White
15,Deckard Shaw,Male,49,White
16,Rhodes,Male,38,White
17,Elena,Female,40,Latinx
18,Magdalene Shaw,Female,71,White
19,Owen Shaw,Male,37,White
20,Santos,Male,39,Latinx
21,Leo,Male,45,Latinx
